Temperature (K),Density (kg/m^3),Viscosity (kg/m*s)
691.15,0.51072456694671,3.2948230718966376e-05
692.15,0.5099866856103714,3.297862042772151e-05
693.15,0.5092509333408621,3.3008986062557805e-05
694.15,0.508517300936712,3.3039327676078796e-05
695.15,0.5077857792493974,3.3069645320707025e-05
696.15,0.5070563591829614,3.3099939048684924e-05
697.15,0.5063290316936364,3.313020891207563e-05
698.15,0.5056037877894702,3.3160454962763746e-05
699.15,0.5048806185299558,3.3190677252456257e-05
700.15,0.5041595150256639,3.322087583268328e-05
701.15,0.5034404684378786,3.32510507547989e-05
702.15,0.5027234699782362,3.328120206998195e-05
703.15,0.5020085109083675,3.3311329829236866e-05
704.15,0.5012955825395421,3.3341434083394404e-05
705.15,0.5005846762323174,3.337151488311252e-05
706.15,0.4998757833961886,3.340157227887709e-05
707.15,0.4991688954892436,3.343160632100272e-05
708.15,0.49846400401781915,3.34616170596335e-05
709.15,0.497761100536161,3.349160454474385e-05
710.15,0.4970601766460869,3.35215688261392e-05
711.15,0.49636122399665134,3.355150995345679e-05
712.15,0.4956642342838146,3.358142797616647e-05
713.15,0.49496919925011373,3.3611322943571415e-05
714.15,0.4942761106843361,3.364119490480885e-05
715.15,0.49358496042119643,3.367104390885089e-05
716.15,0.49289574034101596,3.3700870004505184e-05
717.15,0.49220844236940475,3.373067324041572e-05
718.15,0.4915230584769458,3.376045366506355e-05
719.15,0.49083958067888284,3.379021132676751e-05
720.15,0.4901580010348103,3.381994627368493e-05
721.15,0.48947831164836525,3.384965855381241e-05
722.15,0.4888005046669232,3.387934821498649e-05
723.15,0.4881245722812952,3.39090153048844e-05
724.15,0.4874505067254279,3.393865987102474e-05
725.15,0.48677830027610647,3.396828196076822e-05
726.15,0.4861079452526593,3.399788162131835e-05
727.15,0.4854394340166659,3.402745889972214e-05
728.15,0.48477275897166605,3.405701384287078e-05
729.15,0.48410791256287267,3.408654649750037e-05
730.15,0.4834448872768864,3.411605691019259e-05
731.15,0.4827836756414123,3.4145545127375354e-05
732.15,0.48212427022497933,3.417501119532355e-05
733.15,0.48146666363666185,3.4204455160159664e-05
734.15,0.4808108485258034,3.4233877067854496e-05
735.15,0.48015681758174333,3.42632769642278e-05
736.15,0.4795045635335442,3.429265489494897e-05
737.15,0.4788540791497234,3.432201090553768e-05
